USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
7018,99999,WXPOD 7018,,,,+00.000,+000.000,+7018.0,20110309,20130730
7026,99999,WXPOD 7026,AF,,,+00.000,+000.000,+7026.0,20120713,20170822
7070,99999,WXPOD 7070,AF,,,+00.000,+000.000,+7070.0,20140923,20150926
8260,99999,WXPOD8270,,,,+00.000,+000.000,+0000.0,20090101,20100731
8268,99999,WXPOD8278,AF,,,+32.950,+065.567,+1156.7,20100519,20120323
8307,99999,WXPOD 8318,AF,,,+00.000,+000.000,+8318.0,20100421,20100421
8411,99999,XM20,,,,,,,20160217,20160217
8414,99999,XM18,,,,,,,20160216,20160217
8415,99999,XM21,,,,,,,20160217,20160217
8418,99999,XM24,,,,,,,20160217,20160217
10000,99999,BOGUS NORWAY,NO,,ENRS,,,,20010927,20051231
10010,99999,JAN MAYEN(NOR-NAVY),NO,,ENJA,+70.933,-8.667,+0009.0,19310101,20181010
10013,99999,ROST,NO,,,,,,19861120,19880105
10014,99999,SORSTOKKEN,NO,,ENSO,+59.792,+005.341,+0048.8,19861120,20181010
10015,99999,BRINGELAND,NO,,,+61.383,+005.867,+0327.0,19870117,20081231
10016,99999,RORVIK/RYUM,NO,,,+64.850,+011.233,+0014.0,19870116,19910806
10017,99999,FRIGG,NO,,ENFR,+59.980,+002.250,+0048.0,19880320,20050228
10020,99999,VERLEGENHUKEN,NO,,,+80.050,+016.250,+0008.0,19861109,20181010
10030,99999,HORNSUND,NO,,,+77.000,+015.500,+0012.0,19850601,20181010
10040,99999,NY-ALESUND II,NO,,ENAS,+78.917,+011.933,+0008.0,19730101,20140523
10050,99999,ISFJORD RADIO,SV,,,+78.067,+013.633,+0009.0,19310103,20051109
10060,99999,EDGEOYA,NO,,,+78.250,+022.817,+0014.0,19730101,20181010
10070,99999,NY-ALESUND,SV,,,+78.917,+011.933,+0007.7,19730106,20181010
10071,99999,LONGYEARBYEN,SV,,,+78.217,+015.583,+0037.0,20050210,20050210
10080,99999,LONGYEAR,SV,,ENSB,+78.246,+015.466,+0026.8,19750929,20181010
10090,99999,KARL XII OYA,SV,,,+80.650,+025.000,+0005.0,19550101,20181010
10100,99999,ANDOYA,NO,,ENAN,+69.293,+016.144,+0013.1,19310103,20181010
10110,99999,KVITOYA,SV,,,+80.067,+031.500,+0010.0,19861118,20181010
10120,99999,,,,,,,,19741130,19751116
10140,99999,SENJA-LAUKHELLA,NO,,,+69.233,+017.900,+0009.0,19730101,20140523
